IncidentNumber,CalendarYear,MonthText,Type,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,VehiclePowerType,VehicleManufacturer,IncGeo_BoroughName,IncGeo_WardName,IncGeo_WardCode,Lithium batteries mentioned in report?
000285-01012017,2017,Jan,Other Lithium Battery,Electricity,Other appliance or equipment,Other item,NULL,NULL,BARKING AND DAGENHAM,Thames View,E05014068,Yes
000641-02012017,2017,Jan,Other Lithium Battery,Unknown,Not known,Plastic - raw material only,NULL,NULL,HOUNSLOW,Osterley & Spring Grove,E05013626,Yes
005511-13012017,2017,Jan,Car ,Electricity,"Batteries, generators",Rubber - raw material only,NULL,Mercedes,NEWHAM,Plaistow West & Canning Town East,E05013920,No
006064-15012017,2017,Jan,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,HAMMERSMITH AND FULHAM,Ravenscourt,E05013746,No
007635-18012017,2017,Jan,e-scooter,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,ISLINGTON,Mildmay,E05013709,No
013234-31012017,2017,Jan,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,GREENWICH,West Thamesmead,E05014091,Yes
014248-03022017,2017,Feb,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,BMW,RICHMOND UPON THAMES,Heathfield,E05013781,No
015748-07022017,2017,Feb,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Toyota,KENSINGTON AND CHELSEA,BROMPTON & HANS TOWN,E05009389,No
023285-24022017,2017,Feb,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Toyota,BEXLEY,St. Mary's & St. James,E05011229,No
023815-25022017,2017,Feb,e-cigarette,Electricity,e-Smoking equipment,"Paper, cardboard",NULL,NULL,LAMBETH,Streatham St. Leonard's,E05014115,No
025220-01032017,2017,Mar,Multiple Vehicles ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,GREENWICH,Greenwich Creekside,E05014080,No
029312-10032017,2017,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,BARNET,West Hendon,E05013649,No
029700-11032017,2017,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Toyota,RICHMOND UPON THAMES,Mortlake & Barnes Common,E05013783,No
031061-14032017,2017,Mar,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,ENFIELD,Bowes,E05013673,Yes
034637-22032017,2017,Mar,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Hyundai,BROMLEY,Chislehurst,E05013993,No
034958-23032017,2017,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,ISLINGTON,St. Peter's & Canalside,E05013711,No
036316-26032017,2017,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,EALING,Walpole,E05013541,No
037224-28032017,2017,Mar,Van ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,REDBRIDGE,Aldborough,E05011234,No
042506-08042017,2017,Apr,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Other,HARROW,Centenary,E05013544,No
042946-09042017,2017,Apr,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,NULL,UNKNOWN,LAMBETH,Waterloo & South Bank,E05014118,No
046476-15042017,2017,Apr,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,BMW,CROYDON,Thornton Heath,E05011486,No
048038-18042017,2017,Apr,Other Lithium Battery,Electricity,Other,Plastic - raw material only,NULL,NULL,WALTHAM FOREST,St. James,E05013899,Yes
049416-21042017,2017,Apr,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,NULL,Other,HARINGEY,Fortis Green,E05013589,No
050109-22042017,2017,Apr,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,SOUTHWARK,Faraday,E05011102,No
050966-24042017,2017,Apr,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mazda,HILLINGDON,South Ruislip,E05013579,No
057214-07052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Citroen,EALING,Northolt Mandeville,E05013531,No
058874-11052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Ford,BARKING AND DAGENHAM,Alibon,E05014054,No
058995-11052017,2017,May,e-cigarette,Electricity,e-Smoking equipment,Internal Fittings,NULL,NULL,HAMMERSMITH AND FULHAM,Parsons Green & Sandford,E05013745,No
062243-18052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Taxi (Black cab),BROMLEY,Bromley Town,E05013991,No
062517-18052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Volkswagen,HARINGEY,South Tottenham,E05013599,No
063363-20052017,2017,May,Van ,Electricity,"Batteries, generators",Wiring insulation,NULL,Renault,EALING,North Acton,E05013527,No
